"","V1","V2"
"1230",97605,-30035
"1231",97615,-30035
"1232",97625,-30035
"1233",97635,-30035
"1234",97645,-30035
"1235",97655,-30035
"1236",97665,-30035
"1237",97675,-30035
"1238",97685,-30035
"1239",97695,-30035
"1240",97705,-30035
"1241",97715,-30035
"1242",97725,-30035
"1243",97735,-30035
"1244",97745,-30035
"1245",97755,-30035
"1246",97765,-30035
"1247",97775,-30035
"1248",97785,-30035
"1249",97795,-30035
"1250",97805,-30035
"1251",97815,-30035
"1252",97825,-30035
"1253",97835,-30035
"1254",97845,-30035
"1255",97855,-30035
"1256",97865,-30035
"1257",97875,-30035
"1258",97885,-30035
"1259",97895,-30035
"1260",97905,-30035
"1261",97915,-30035
"1262",97925,-30035
"1263",97935,-30035
"1264",97945,-30035
"1265",97955,-30035
"1266",97965,-30035
"1267",97975,-30035
"1268",97985,-30035
"1269",97995,-30035
"1270",98005,-30035
"1271",98015,-30035
"1272",98025,-30035
"1273",98035,-30035
"1274",98045,-30035
"1275",98055,-30035
"1276",98065,-30035
"1277",98075,-30035
"1278",98085,-30035
"1279",98095,-30035
"1280",98105,-30035
"1281",98115,-30035
"1282",98125,-30035
"1283",98135,-30035
"1284",98145,-30035
"1285",96015,-30025
"1286",96025,-30025
"1287",96035,-30025
"1288",96045,-30025
"1289",96055,-30025
"1290",96065,-30025
"1291",96075,-30025
"1292",96085,-30025
"1293",96095,-30025
"1294",96105,-30025
"1295",96115,-30025
"1296",96125,-30025
"1297",96135,-30025
"1298",96145,-30025
"1299",96155,-30025
"1300",96165,-30025
"1301",96175,-30025
"1302",96185,-30025
"1303",96195,-30025
"1304",96205,-30025
"1305",96215,-30025
"1306",96225,-30025
"1307",96235,-30025
"1308",96245,-30025
"1309",96255,-30025
"1310",96265,-30025
"1311",96275,-30025
"1312",96285,-30025
"1313",96295,-30025
"1314",96305,-30025
"1315",96315,-30025
"1316",96325,-30025
"1317",96335,-30025
"1318",96345,-30025
"1319",96355,-30025
"1320",96365,-30025
"1321",96375,-30025
"1322",96385,-30025
"1323",96395,-30025
"1324",96405,-30025
"1325",96415,-30025
"1326",96425,-30025
"1327",96435,-30025
"1328",96445,-30025
"1329",96455,-30025
"1330",96465,-30025
"1331",96475,-30025
"1332",96485,-30025
"1333",96495,-30025
"1334",96505,-30025
"1335",96515,-30025
"1336",96525,-30025
"1337",96535,-30025
"1338",96545,-30025
"1339",96555,-30025
"1340",96565,-30025
"1341",96575,-30025
"1342",96585,-30025
"1343",96595,-30025
"1344",96605,-30025
"1345",96615,-30025
"1346",96625,-30025
"1347",96635,-30025
"1348",96645,-30025
"1349",96655,-30025
"1350",96665,-30025
"1351",96675,-30025
"1352",96685,-30025
"1353",96695,-30025
"1354",96705,-30025
"1355",96715,-30025
"1356",96725,-30025
"1357",96735,-30025
"1358",96745,-30025
"1359",96755,-30025
